iter	RMSE
172	0.3345931781
173	0.3310904798
174	0.328562444
175	0.3284575276
176	0.3283472596
177	0.3282240443
178	0.3279941239
179	0.3242869595
180	0.3199828526
181	0.3197751955
182	0.319681522
183	0.3195544842
184	0.3194336642
185	0.3193383563
186	0.3170022857
187	0.3168916696
188	0.3143194782
189	0.3096974153
190	0.3004167412
191	0.298367658
192	0.295765097
193	0.2956784175
194	0.2955953942
195	0.2948940691
196	0.2922003723
197	0.2897432483
198	0.2896659916
199	0.2878445272
200	0.2823449665
201	0.28224514
202	0.2803806263
203	0.2802648241
204	0.2799823462
205	0.2720840822
206	0.2719292045
207	0.2692926808
208	0.2624227246
209	0.2623222056
210	0.2622132896
211	0.2621237808
212	0.2601525279
213	0.2600517645
214	0.2599760497
215	0.2599027717
216	0.25981313
217	0.2597339565
218	0.2530610148
219	0.2529693123
220	0.2506283216
221	0.24565465
222	0.2455773241
223	0.2454971988
224	0.2428556255
225	0.2374700503
226	0.2373760617
227	0.2348144756
228	0.2331141193
229	0.2311707255
230	0.2310924551
231	0.2310153068
232	0.230908108
233	0.2308287472
234	0.2286117075
235	0.2266318349
236	0.2218147564
237	0.2201766396
238	0.2185073137
239	0.2137299254
240	0.2136532069
241	0.2130612654
242	0.212992124
243	0.2129238062
244	0.2109557901
245	0.2107675698
246	0.2107101041
247	0.2092483292
248	0.2052766382
249	0.2041105745
250	0.2040221196
251	0.2039096374
252	0.2038265825
253	0.2037294765
254	0.2006843691
255	0.2006062494
256	0.1998767886
257	0.1997953479
258	0.1992718822
259	0.1977721306
260	0.197678332
261	0.1947208773
262	0.1946460942
263	0.1945730613
264	0.1944762939
265	0.1944163953
266	0.1927688754
267	0.1926717779
268	0.191043148
269	0.1909531459
270	0.1905083311
271	0.1904470397
272	0.1877608903
273	0.1877063922
274	0.1871944058
275	0.1871125114
276	0.1870337374
277	0.186961595
278	0.1868901429
279	0.184523625
280	0.1844109729
281	0.1843473812
282	0.1831666243
283	0.1809109335
284	0.1808437123
285	0.1807881627
286	0.1806992348
287	0.1793354779
288	0.1792633551
289	0.1782441341
290	0.1781797994
291	0.1761518918
292	0.1752621143
293	0.1751857975
294	0.1736448129
295	0.1735320831
296	0.1721926627
297	0.171698156
298	0.1706091498
299	0.1705470943
300	0.1704599364
301	0.1703800682
302	0.169374441
303	0.1693054804
304	0.1692327851
305	0.1691782961
306	0.1685761225
307	0.1677782325
308	0.167133619
309	0.1667366528
310	0.1666612281
311	0.1665827024
312	0.1645907099
313	0.1645149759
314	0.163840118
315	0.1636411373
316	0.1635686542
317	0.1635038636
318	0.1634372987
319	0.1633864194
320	0.1628939786
321	0.1624671962
322	0.1619223029
323	0.1618373176
324	0.1617563611
325	0.1600603063
326	0.1596863966
327	0.1590354889
328	0.1585071127
329	0.1584509737
330	0.1568021705
331	0.1567385222
332	0.1566524362
333	0.1565867293
334	0.1562418392
335	0.1561585667
336	0.1560763074
337	0.1556334461
338	0.1555407352
339	0.1554906247
340	0.1554067318
341	0.1548708431
342	0.1548064617
343	0.1547445037
344	0.154677275
345	0.1546062981
346	0.1545529206
347	0.1544954899
348	0.1544255734
349	0.1543925341
350	0.1543488346
351	0.1542825312
352	0.1537604587
353	0.1537026757
354	0.1529731706
355	0.1529155555
356	0.1528676154
357	0.1528237875
358	0.1527653639
359	0.1527224457
360	0.1526597274
361	0.1521753598
362	0.1521403721
363	0.1520788646
364	0.1515263875
365	0.1514857918
366	0.1500450971
367	0.1500007705
368	0.149942769
369	0.1498950249
370	0.1486125379
371	0.1485762297
372	0.1483171249
373	0.1479375177
374	0.1479038672
375	0.1478701384
376	0.1478347618
377	0.1472799964
378	0.1472244479
379	0.1466315278
380	0.1462225367
381	0.1455031704
382	0.1454511213
383	0.1446420333
384	0.1442727604
385	0.1442196333
386	0.1441639423
387	0.1441091469
388	0.1439016654
389	0.1438387702
390	0.1437798175
391	0.1437288161
392	0.1437043547
393	0.1436746051
394	0.1436299791
395	0.1435926547
396	0.1433781157
397	0.1428435581
398	0.1427931174
399	0.1427321358
400	0.1427025734
401	0.1415735204
402	0.1415274228
403	0.1414890889
404	0.1414386085
405	0.1413899065
406	0.1406467
407	0.1400435758
408	0.1399761139
409	0.1399329248
410	0.139887472
411	0.1394012638
412	0.1390515071
413	0.1384112497
414	0.1383675579
415	0.1380761771
416	0.1380381639
417	0.1379816974
418	0.1373664897
419	0.136922143
420	0.1368579197
421	0.136595397
422	0.1365400977
423	0.1364821904
424	0.1362035688
425	0.1352273112
426	0.1342055691
427	0.134157696
428	0.1339932038
429	0.1339463063
430	0.1337407975
431	0.1329348572
432	0.1327497933
433	0.1327030018
434	0.1326329287
435	0.1326167469
436	0.1326014113
437	0.1319489269
438	0.1318897216
439	0.1318688039
440	0.1318226567
441	0.1316545401
442	0.1310884633
443	0.1310382888
444	0.1309738648
445	0.1309122955
446	0.1308594505
447	0.1303729949
448	0.1303424566
449	0.1302859386
450	0.1296662592
451	0.1296133393
452	0.1293361655
453	0.1292892226
454	0.1291965543
455	0.1291598265
456	0.1290976979
457	0.1290520638
458	0.1290197566
459	0.1289816124
460	0.1289476331
461	0.1289098014
462	0.1284681705
463	0.1281415929
464	0.1275846289
465	0.1275607372
466	0.1272302512
467	0.1271774136
468	0.1271383943
469	0.1270995993
470	0.1270733419
471	0.1270261321
472	0.1269787449
473	0.1269434548
474	0.1266544102
475	0.1266156951
476	0.1263417643
477	0.1263118901
478	0.1262631582
479	0.1256909471
480	0.1256503241
481	0.1255976336
482	0.1255484411
483	0.1255076592
484	0.1254729678
485	0.1254295703
486	0.1253814081
487	0.1249308758
488	0.1248836699
489	0.1247104173
490	0.1237824811
491	0.1237313618
492	0.1234104081
493	0.123030454
494	0.1229965936
495	0.1227128182
496	0.1227016372
497	0.1224605544
498	0.1224317927
499	0.1222338485
500	0.1221964825
501	0.1220716966
502	0.122046359
503	0.1215395706
504	0.1215141099
505	0.1212598237
506	0.1212338491
507	0.1209722794
508	0.1205678794
509	0.1205429137
510	0.1205024219
511	0.1204586767
512	0.1204283896
513	0.1203954262
514	0.1196107856
515	0.1195896037
516	0.1194731648
517	0.1191643518
518	0.1184767686
519	0.1184208814
520	0.1184057127
521	0.1183734171
522	0.1176825061
523	0.1175873634
524	0.1175627811
525	0.1175247956
526	0.1173709845
527	0.1173378643
528	0.1171594772
529	0.1169380596
530	0.1168990655
531	0.1165316415
532	0.116359107
533	0.1163269058
534	0.1162902638
535	0.1162447305
536	0.1162068213
537	0.1161619236
538	0.1159614465
539	0.1156382228
540	0.1156177576
541	0.1156068851
542	0.1155755285
543	0.1149477239
544	0.1147234717
545	0.114680765
546	0.1146522991
547	0.1144873278
548	0.114446394
549	0.1143980319
550	0.1143672334
551	0.1143301095
552	0.1142867599
553	0.1142611093
554	0.1142346119
555	0.1141843717
556	0.1139469326
557	0.1138483822
558	0.1138158881
559	0.113782172
560	0.1136694586
561	0.113583533
562	0.1133391939
563	0.1131822331
564	0.1131418544
565	0.1131167843
566	0.113071445
567	0.1130386739
568	0.1128401358
569	0.1128108531
570	0.1127790119
571	0.1127402982
572	0.1127165841
573	0.1125503581
574	0.112397273
575	0.1123640684
576	0.1123292517
577	0.1117869355
578	0.1115796581
579	0.1114856323
580	0.1109957766
581	0.1109692329
582	0.1109257545
583	0.1108957189
584	0.1108694859
585	0.1108505285
586	0.1107126431
587	0.1106897339
588	0.1106565182
589	0.1104559283
590	0.1104230807
591	0.1103857408
592	0.1103535385
593	0.1103249706
594	0.1102183498
595	0.1101913469
596	0.1100523307
597	0.1100166115
598	0.1099853018
599	0.1099463407
600	0.109916566
601	0.1098842661
602	0.109859808
603	0.1096714756
604	0.1096394075
605	0.1096116079
606	0.109364087
607	0.1093360776
608	0.1093133734
609	0.1092880002
610	0.1092365666
611	0.1092181276
612	0.1091819927
613	0.1091602304
614	0.1091282322
615	0.1091041287
616	0.1087633537
617	0.1087364858
618	0.1087099473
619	0.1084167349
620	0.1083896575
621	0.1081366759
622	0.1081188715
623	0.1075590702
624	0.1075284152
625	0.1070263898
626	0.1070037306
627	0.1069276288
628	0.1068982922
629	0.106784113
630	0.1066484917
631	0.1066315557
632	0.1064534196
633	0.1062906218
634	0.1062462413
635	0.1061106709
636	0.1059544857
637	0.1057556621
638	0.105548322
639	0.1055287013
640	0.1054955128
641	0.1054791513
642	0.105466053
643	0.105435755
644	0.1053767528
645	0.1053545392
646	0.105327846
647	0.105307028
648	0.1052898671
649	0.1052520656
650	0.1052251969
651	0.1051978699
652	0.1051818245
653	0.1050300691
654	0.1050032314
655	0.1049662947
656	0.1049219182
657	0.1048836713
658	0.1048500524
659	0.1048135873
660	0.1047822913
661	0.1045856729
662	0.1044810822
663	0.1044492967
664	0.1044223288
665	0.1044077337
666	0.1043898263
667	0.1043693114
668	0.1043238974
669	0.1040635612
670	0.1040405515
671	0.1036519212
672	0.1036268525
673	0.1035611209
674	0.1035422988
675	0.1035072628
676	0.1034787788
677	0.1034618967
678	0.1033378215
679	0.1033105016
680	0.1032912328
681	0.1032485372
682	0.1032331848
683	0.1032022444
684	0.1029591626
685	0.102940008
686	0.1029260721
687	0.102892157
688	0.1026903711
689	0.1026641452
690	0.1026398349
691	0.1025921753
692	0.1025686025
693	0.1024899615
694	0.1024604024
695	0.1024225741
696	0.1024016061
697	0.1022896088
698	0.1022136132
699	0.1021582457
700	0.1021348114
701	0.1021231759
702	0.1021053217
703	0.1020823218
704	0.1020603694
705	0.1020420241
706	0.1020042093
707	0.1017220716
708	0.1017072658
709	0.1016921129
710	0.1016609958
711	0.1016437718
712	0.1016249936
713	0.1012975927
714	0.1012817337
715	0.1012596231
716	0.1012318177
717	0.1012190627
718	0.1011766402
719	0.1011591263
720	0.1009472244
721	0.1009226017
722	0.1008345591
723	0.1006740889
724	0.1006356852
725	0.1006133127
726	0.100586117
727	0.1005714137
728	0.1005231049
729	0.1003029277
730	0.1001761996
731	0.1001614095
732	0.1001382842
733	0.1001151327
734	0.09989818611
735	0.09973426401
736	0.09970527623
737	0.09933585496
738	0.09931778877
739	0.09930272388
740	0.09913474679
741	0.09909252541
742	0.09906121095
743	0.09904088958
744	0.09901679133
745	0.09880164128
746	0.09843477234
747	0.09813103313
748	0.09794542572
749	0.0979145933
750	0.09789489599
751	0.09787648912
752	0.09786004204
753	0.09784065597
754	0.09781681197
755	0.09779383795
756	0.09752087534
757	0.097426576
758	0.09740434223
759	0.09738433849
760	0.09735138017
761	0.09732495736
762	0.09722089612
763	0.09720176806
764	0.0971775029
765	0.09714817058
766	0.09713189162
767	0.09712022076
768	0.09709525453
769	0.0970687545
770	0.09704409503
771	0.09701972257
772	0.09700002231
773	0.09685361607
774	0.09682719362
775	0.09675353659
776	0.09654517783
777	0.09649248232
778	0.09647804874
779	0.09645451477
780	0.09637037879
781	0.09632976998
782	0.09583278146
783	0.09575508975
784	0.09569283289
785	0.09567393255
786	0.09566209439
787	0.09564435512
788	0.09559231653
789	0.09556780178
790	0.09544791748
791	0.09542859516
792	0.09540970144
793	0.09539584648
794	0.09538101457
795	0.09536504436
796	0.09534887876
797	0.09533308725
798	0.0950926202
799	0.09499141524
800	0.09490460487
801	0.09484408647
802	0.09482232819
803	0.09480882022
804	0.09477844098
805	0.094736696
806	0.09470442583
807	0.09468033505
808	0.09466451888
809	0.09465159348
810	0.09463878693
811	0.09455757878
812	0.09437981553
813	0.0943650775
814	0.09432581263
815	0.09430610206
816	0.09413440033
817	0.09411642477
818	0.09409789403
819	0.09407019943
820	0.09405837551
821	0.0940390094
822	0.09401507591
823	0.09389952405
824	0.09387216111
825	0.09383595575
826	0.0938092668
827	0.09371307988
828	0.09369035746
829	0.09367242799
830	0.09365164366
831	0.09362943609
832	0.09360656918
833	0.09357493033
834	0.0935508398
835	0.09353055802
836	0.09339398345
837	0.09337262439
838	0.09331251848
839	0.09328733567
840	0.09327031858
841	0.09312616577
842	0.09311406564
843	0.09309233573
844	0.09308036377
845	0.09305743099
846	0.09299175316
847	0.09297721444
848	0.09294324678
849	0.09285630059
850	0.09279088673
851	0.09264987538
852	0.09263155753
853	0.09262041987
854	0.09259304917
855	0.09242927526
856	0.09240861582
857	0.09239041135
858	0.09237509742
859	0.09235616857
860	0.0923383295
861	0.09232350273
862	0.09230728979
863	0.09221771199
864	0.09219335757
865	0.09217748288
866	0.09214880696
867	0.09213469954
868	0.09211732951
869	0.09211060933
870	0.09208455855
871	0.09206649783
872	0.09204034123
873	0.09201894656
874	0.09200484131
875	0.09198637876
876	0.09192893246
877	0.0919103164
878	0.0917649807
879	0.09172005665
880	0.09170322326
881	0.09155243601
882	0.09153365334
883	0.09143071032
884	0.09140432546
885	0.09138069338
886	0.09136361965
887	0.09113526735
888	0.09105052659
889	0.0910284191
890	0.09101228135
891	0.09075218882
892	0.09056539825
893	0.09055254493
894	0.09053798899
895	0.0903347977
896	0.09032157752
897	0.09030397438
898	0.09028431011
899	0.09007036014
900	0.09004840786
901	0.09003642011
902	0.08990552507
903	0.08988963499
904	0.08987477397
905	0.0896476273
906	0.08962950718
907	0.08960036062
908	0.08958722282
909	0.08957544368
910	0.08955228956
911	0.08942253358
912	0.08932061334
913	0.08929921336
914	0.08917226574
915	0.08915306668
916	0.08913905371
917	0.08906085199
918	0.08904122464
919	0.0890219262
920	0.08900180913
921	0.08898558552
922	0.08884284431
923	0.08876826793
924	0.08875533519
925	0.0887309439
926	0.08871610643
927	0.08868924165
928	0.08860333706
929	0.08855744468
930	0.08854195847
931	0.08846153456
932	0.08843107087
933	0.08840792867
934	0.08839715867
935	0.08836680585
936	0.08835061716
937	0.08799215503
938	0.08797917742
939	0.08796638322
940	0.08795480821
941	0.08793472332
942	0.08792224471
943	0.08785464613
944	0.0877104183
945	0.08769725609
946	0.0876412655
947	0.08763312147
948	0.08751324731
949	0.08749012021
950	0.08746073896
951	0.08744653634
952	0.08742178494
953	0.08740141117
954	0.08738264178
955	0.08733342424
956	0.08731981772
957	0.08719170612
958	0.08718045138
959	0.08716463345
960	0.08714556828
961	0.08713152101
962	0.08711568715
963	0.08710571088
964	0.08709316875
965	0.08698904129
966	0.08696710409
967	0.08695565489
968	0.08693376929
969	0.0867557725
970	0.0865753757
971	0.08651345412
972	0.08649785492
973	0.08647867488
974	0.08646633938
975	0.08644906013
976	0.08643252109
977	0.08642163676
978	0.08612511027
979	0.08600591634
980	0.08573196477
981	0.0857182442
982	0.08563623514
983	0.08562377469
984	0.08560843195
985	0.08547491374
986	0.08545761599
987	0.0854166502
988	0.08540251705
989	0.08529594467
990	0.08528392088
991	0.08526289865
992	0.08523775063
993	0.0851892416
994	0.08517128077
995	0.08516158308
996	0.08514997057
997	0.08500383865
998	0.08488664248
999	0.08487602496
